"","ï..id","sp","count1","count2","count3","count4","count5","count6","count7","count8","count9","count10","count11","count12","count13","count14","count15","count16","count17","count18","count.19","count.20","count.21","count.22","count.23","count.24","count.25","dvera_mean","dwat_mean","v1_sum","v2_sum","v3_sum","v4_sum","v5_sum","v6_sum","year","typeuse","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25"
"1","C61","ciervo",NA,NA,NA,NA,NA,NA,4,9,13,21,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.63290902656352,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","C61","gamo",NA,NA,NA,NA,NA,NA,1,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.63290902656352,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","C61","jabali",NA,NA,NA,NA,NA,NA,7,14,23,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.63290902656352,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","C62","ciervo",3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822957629212059,4.63451243164628,0,3,71,0,0,26,0,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","C62","gamo",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822957629212059,4.63451243164628,0,3,71,0,0,26,0,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","C62","jabali",10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822957629212059,4.63451243164628,0,3,71,0,0,26,0,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","C81","ciervo",NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24023896378328,2.28226513215661,9,91,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","C81","gamo",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24023896378328,2.28226513215661,9,91,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","C81","jabali",NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24023896378328,2.28226513215661,9,91,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","C82","ciervo",NA,NA,NA,NA,NA,NA,4,5,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954022669879912,1.70731018565131,0,96,4,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","C82","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954022669879912,1.70731018565131,0,96,4,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","C82","jabali",NA,NA,NA,NA,NA,NA,3,5,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954022669879912,1.70731018565131,0,96,4,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","C83","ciervo",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07856523782165,3.59436562633487,0,0,36,0,0,64,0,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","C83","gamo",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07856523782165,3.59436562633487,0,0,36,0,0,64,0,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","C83","jabali",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07856523782165,3.59436562633487,0,0,36,0,0,64,0,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","C100","ciervo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,4,0,0,2,NA,NA,NA,NA,NA,NA,NA,17.5814271947803,7.74056808847336,26,63,11,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"17","C100","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,17.5814271947803,7.74056808847336,26,63,11,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"18","C100","jabali",NA,NA,NA,NA,NA,NA,1,1,0,1,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,17.5814271947803,7.74056808847336,26,63,11,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"19","C102","ciervo",NA,NA,NA,NA,NA,NA,2,7,12,2,15,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54721970508106,1.79472470417763,82,18,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","C102","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54721970508106,1.79472470417763,82,18,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","C102","jabali",NA,NA,NA,NA,NA,NA,4,2,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54721970508106,1.79472470417763,82,18,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","C103","ciervo",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39389068429229,3.03483261361112,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","C103","gamo",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39389068429229,3.03483261361112,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","C103","jabali",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39389068429229,3.03483261361112,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
