"","ID.","NAME","Type","dvera","dwat","v1","v2","v3","v4","v5","v6","COLLAR","year","SPECIES"
"1",1,"520-2015",1,0.644675056,6.864710907,0,100,0,0,0,0,520,2015,1
"2",2,"520-2015",1,0.957384259,7.596297264,0,44,34,0,0,22,520,2015,1
"3",3,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"4",4,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"5",5,"520-2015",1,1.497570619,7.693680806,0,100,0,0,0,0,520,2015,1
"6",6,"520-2015",1,1.529957998,6.282996486,38,62,0,0,0,0,520,2015,1
"7",7,"520-2015",1,0.323915208,8.213551632,0,72,25,0,0,3,520,2015,1
"8",8,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"9",9,"520-2015",1,7.328612585,2.282531075,93,7,0,0,0,0,520,2015,1
"10",10,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"11",11,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"12",12,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"13",13,"520-2015",1,1.497570619,7.693680806,0,100,0,0,0,0,520,2015,1
"14",14,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"15",15,"520-2015",1,1.497570619,7.693680806,0,100,0,0,0,0,520,2015,1
"16",16,"520-2015",1,5.68242005,4.013052889,83,17,0,0,0,0,520,2015,1
"17",17,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"18",18,"520-2015",1,1.529957998,6.282996486,38,62,0,0,0,0,520,2015,1
"19",19,"520-2015",1,1.529957998,6.282996486,38,62,0,0,0,0,520,2015,1
"20",20,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"21",21,"520-2015",1,0.644675056,6.864710907,0,100,0,0,0,0,520,2015,1
"22",22,"520-2015",1,3.548360949,3.709559645,85,0,15,0,0,0,520,2015,1
"23",23,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"24",24,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"25",25,"520-2015",1,2.568446563,4.214048043,100,0,0,0,0,0,520,2015,1
"26",26,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"27",27,"520-2015",1,1.529957998,6.282996486,38,62,0,0,0,0,520,2015,1
"28",28,"520-2015",1,3.466532411,5.697245857,100,0,0,0,0,0,520,2015,1
"29",29,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"30",30,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
